id,createTime,authorId,text,video.urls,shareCount,playCount,commentCount
7380487798517697809,2024-06-15,7372729660905751553,Things to do in Rome 🍝✨ #rome #italy #travel #fyp @Francesco Meola | Travel @Giorgio Teti @César Belio @arcoiblue @Jidekis Gallardo 🦁 @B8Q Lex @Christel in Italy @Mikita Yo @travel_daddy_worldwide,"['https://v45.tiktokcdn-eu.com/8ffb8f6821650b280c03d5b9439a18cb/67454192/video/tos/alisg/tos-alisg-pve-0037c001/oEOrJxQbIENF0NEBMwmEsDpBbEswQeufgAyF5R/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=2788&bt=1394&cs=0&ds=6&ft=p6JrAMMK8Zmo0w32Zb4jV9aH~SWrKsd.&mime_type=video_mp4&qs=0&rc=ZGdkOjc0OzdlaDkzN2c0N0BpamdlcHI5cnRmczMzODczNEA0Xl41MWItNTAxYGIzMy4yYSNhcC1wMmRzMWpgLS1kMS1zcw%3D%3D&vvpl=1&l=20241125213309AF623439CC3C453356F0&btag=e0008d000', 'https://v77.tiktokcdn-eu.com/7cfd216803d7aa6e27f4806c7bb364f7/67454192/video/tos/alisg/tos-alisg-pve-0037c001/oEOrJxQbIENF0NEBMwmEsDpBbEswQeufgAyF5R/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=2788&bt=1394&cs=0&ds=6&ft=p6JrAMMK8Zmo0w32Zb4jV9aH~SWrKsd.&mime_type=video_mp4&qs=0&rc=ZGdkOjc0OzdlaDkzN2c0N0BpamdlcHI5cnRmczMzODczNEA0Xl41MWItNTAxYGIzMy4yYSNhcC1wMmRzMWpgLS1kMS1zcw%3D%3D&vvpl=1&l=20241125213309AF623439CC3C453356F0&btag=e00088000', 'https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?faid=1233&file_id=54116d64e0c64e3b8408e14487aaad7a&is_play_url=1&item_id=7380487798517697809&line=0&redirect=0&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLmMyZjk2ZTA0ZjE1ZjVkN2EwNzEzMjg5MWJmNjhlNTlj&source=CHALLENGE_AWEME&vidc=sg1&video_id=v10044g50000cpmc4qvog65osm0bsddg']",1033,138499,79
7394176466340089121,2024-07-21,6837200889528206342,"When it’s hot outside, underground is always a good idea 😉 #rome #rometravel #rometours #rometourguide #romeitaly #whatitalyis #rometravelers #romeitalytravel #romethingstodo #romeplaces #romerightnow #rometraveltips #romesecrets #romeviews #hiddengems ","['https://v45.tiktokcdn-eu.com/04b70ce539dbcb21b2c2ed46ae092a66/67454194/video/tos/useast2a/tos-useast2a-ve-0068-euttp/oQZEyHT4J19avNAXACdRGkvYAgvR8fAmePdfif/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=3510&bt=1755&cs=0&ds=6&ft=p6JrAMMK8Zmo0w32Zb4jV9aH~SWrKsd.&mime_type=video_mp4&qs=0&rc=Mzc1Z2doZWY2ZTs0NjMzNEBpM3c6d3c5cjxwdDMzZjczM0AyYC1jYTUyNWIxMC00MjMwYSNxZTNjMmQ0NWJgLS1kMWNzcw%3D%3D&vvpl=1&l=20241125213309AF623439CC3C453356F0&btag=e0008d000', 'https://v77.tiktokcdn-eu.com/139129a662e367985045e35b1ec802f7/67454194/video/tos/useast2a/tos-useast2a-ve-0068-euttp/oQZEyHT4J19avNAXACdRGkvYAgvR8fAmePdfif/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=3510&bt=1755&cs=0&ds=6&ft=p6JrAMMK8Zmo0w32Zb4jV9aH~SWrKsd.&mime_type=video_mp4&qs=0&rc=Mzc1Z2doZWY2ZTs0NjMzNEBpM3c6d3c5cjxwdDMzZjczM0AyYC1jYTUyNWIxMC00MjMwYSNxZTNjMmQ0NWJgLS1kMWNzcw%3D%3D&vvpl=1&l=20241125213309AF623439CC3C453356F0&btag=e00088000', 'https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?faid=1233&file_id=3160507301384be38c5b8eddfd02c450&is_play_url=1&item_id=7394176466340089121&line=0&redirect=0&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLmRiOGVmNDQ1NWRhOGRlYzJkNTk3NGIwNjQ0ZTJjYWZj&source=CHALLENGE_AWEME&vidc=useast2a&video_id=v0f044gc0000cqem897og65tft67htt0']",4422,483706,88
7415725536007195910,2024-09-18,6790121256747648006,Being a tourist 😂 #rome #fyp #italy #italytravel #fypシ #eurotrip ,"['https://v45.tiktokcdn-eu.com/e481fe08cbf6781bd6fea7f0ea6879f0/67454182/video/tos/useast2a/tos-useast2a-pve-0068/o4fjIIMbesJc3DFppEC9EQO8gQFyCNAf0ZDSgE/?a=1233&bti=Ojs2NGYpQHM6OjZALjU2OmQvcCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=4974&bt=2487&cs=0&ds=6&ft=p6JrAMMK8Zmo0w32Zb4jV9aH~SWrKsd.&mime_type=video_mp4&qs=0&rc=OztmPDRpOjtoOmVlOjo5ZEBpM252cnA5cjV5dTMzNzczM0AvNTEzNWAzX2IxXy0uMTJjYSNzbWgzMmRjM2hgLS1kMTZzcw%3D%3D&vvpl=1&l=20241125213309AF623439CC3C453356F0&btag=e0008d000', 'https://v77.tiktokcdn-eu.com/7ffb94d61c3eb1e9a0d93c697b4b7511/67454182/video/tos/useast2a/tos-useast2a-pve-0068/o4fjIIMbesJc3DFppEC9EQO8gQFyCNAf0ZDSgE/?a=1233&bti=Ojs2NGYpQHM6OjZALjU2OmQvcCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=4974&bt=2487&cs=0&ds=6&ft=p6JrAMMK8Zmo0w32Zb4jV9aH~SWrKsd.&mime_type=video_mp4&qs=0&rc=OztmPDRpOjtoOmVlOjo5ZEBpM252cnA5cjV5dTMzNzczM0AvNTEzNWAzX2IxXy0uMTJjYSNzbWgzMmRjM2hgLS1kMTZzcw%3D%3D&vvpl=1&l=20241125213309AF623439CC3C453356F0&btag=e00088000', 'https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?faid=1233&file_id=fa5647170bbb47eeb867cf81694c8828&is_play_url=1&item_id=7415725536007195910&line=0&redirect=0&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLmVjYThhYmYzM2I5Mzc0N2RjZjYwOTRmNDczMDQwODVm&source=CHALLENGE_AWEME&vidc=maliva&video_id=v09044g40000crkv62fog65m6okspkv0']",144,59773,16
7425195042567884038,2024-10-13,7146068440930386949,Maybe Rome is currently not the best option 🥲 #rome #italy #fontanaditrevi #trevi #italia #travel #fy #fypage #fyppppppppppppppppppppppp #viral #viralvideos ,"['https://v45.tiktokcdn-eu.com/2971af24341ad5e7027ec23633434a11/6745417d/video/tos/useast2a/tos-useast2a-pve-0068/ocsgs6BMiBUDhlLi6INrAA4Cl9yIEkQfozcyci/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=4642&bt=2321&cs=0&ds=6&ft=p6JrAMMK8Zmo0w32Zb4jV9aH~SWrKsd.&mime_type=video_mp4&qs=0&rc=NDQ6ZzU1MzhmOTs8ZWVmZkBpam5ldnc5cjRzdjMzNzczM0AyMS1gMTIyNi8xNDA2NC8yYSNpZGpmMmRzYDJgLS1kMTZzcw%3D%3D&vvpl=1&l=20241125213309AF623439CC3C453356F0&btag=e0008d000', 'https://v77.tiktokcdn-eu.com/7fde7276509adadce83c2074484362d4/6745417d/video/tos/useast2a/tos-useast2a-pve-0068/ocsgs6BMiBUDhlLi6INrAA4Cl9yIEkQfozcyci/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=4642&bt=2321&cs=0&ds=6&ft=p6JrAMMK8Zmo0w32Zb4jV9aH~SWrKsd.&mime_type=video_mp4&qs=0&rc=NDQ6ZzU1MzhmOTs8ZWVmZkBpam5ldnc5cjRzdjMzNzczM0AyMS1gMTIyNi8xNDA2NC8yYSNpZGpmMmRzYDJgLS1kMTZzcw%3D%3D&vvpl=1&l=20241125213309AF623439CC3C453356F0&btag=e00088000', 'https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?faid=1233&file_id=5c2c7b9b3978462c95505242cd074151&is_play_url=1&item_id=7425195042567884038&line=0&redirect=0&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLmJjNDA3MWMyOGFjZjJiZTA0Y2FhYTRlYzBjY2VhY2Rh&source=CHALLENGE_AWEME&vidc=maliva&video_id=v09044g40000cs5pc1vog65tismbgklg']",7961,1028794,143
7358144332630625568,2024-04-15,7148038032389489670,"Where to go out in Rome Italy? If you're looking for a place with chill/club vibes, check out📍Sanctuary Eco Retreat  #wheretogooutinrome #romenightlife #romeclubs #romeitaly #romerecommendations #livinginrome #romelife #rome ","['https://v45.tiktokcdn-eu.com/21b05ff3b1f24226c0bb9eb5d071ddd8/6745418b/video/tos/useast2a/tos-useast2a-ve-0068-euttp/oM1nVdCirRIODDWzASQEIYEi8fY7CdCnhBqAoA/?a=1233&bti=Ojs2NGYpQHM6OjZALjU2OmQvcCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=2726&bt=1363&cs=0&ds=6&ft=p6JrAMMK8Zmo0w32Zb4jV9aH~SWrKsd.&mime_type=video_mp4&qs=0&rc=Ojw0Zzk0O2g2aTxpODk0NUBpM2h2NG85cjtwcjMzZjczM0BeNS0vY19fNjAxL2JeNmFeYSNpLTE2MmRzL2JgLS1kMWNzcw%3D%3D&vvpl=1&l=20241125213309AF623439CC3C453356F0&btag=e0008d000', 'https://v77.tiktokcdn-eu.com/c8c468ccef435074ab3538e74812991f/6745418b/video/tos/useast2a/tos-useast2a-ve-0068-euttp/oM1nVdCirRIODDWzASQEIYEi8fY7CdCnhBqAoA/?a=1233&bti=Ojs2NGYpQHM6OjZALjU2OmQvcCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=2726&bt=1363&cs=0&ds=6&ft=p6JrAMMK8Zmo0w32Zb4jV9aH~SWrKsd.&mime_type=video_mp4&qs=0&rc=Ojw0Zzk0O2g2aTxpODk0NUBpM2h2NG85cjtwcjMzZjczM0BeNS0vY19fNjAxL2JeNmFeYSNpLTE2MmRzL2JgLS1kMWNzcw%3D%3D&vvpl=1&l=20241125213309AF623439CC3C453356F0&btag=e00088000', 'https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?faid=1233&file_id=a2d196a5ef294f339eb8b1f62d0189a7&is_play_url=1&item_id=7358144332630625568&line=0&redirect=0&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLjVmN2MzOTdjODFlNjY2ZjgyZjJlOTA5OTk3MzBiMmVm&source=CHALLENGE_AWEME&vidc=useast2a&video_id=v0f044gc0000coem28vog65l914s0el0']",1980,180946,44
7334979904213208352,2024-02-13,6765595163929052165,Rome is magical in the winter 🇮🇹🍝 #rome #romeitaly #roma ,"['https://v45.tiktokcdn-eu.com/ee89941ced17604bae492e1559e59561/67454181/video/tos/useast2a/tos-useast2a-ve-0068c001-euttp/oErUNQPBlBFwvVsiiB5x4AIaEDtLfy2QMREdbf/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=2968&bt=1484&cs=0&ds=6&ft=p6JrAMMK8Zmo0w32Zb4jV9aH~SWrKsd.&mime_type=video_mp4&qs=0&rc=aDUzZjpmOzg0N2RkOTM7PEBpamlwNmo5cmlrcTMzZjczM0BiMGEuXy4yXjQxMy42MF4zYSNpbTJhMmRzXjJgLS1kMWNzcw%3D%3D&vvpl=1&l=20241125213309AF623439CC3C453356F0&btag=e0008d000', 'https://v77.tiktokcdn-eu.com/0574b678015a35c5879402c63d6a23e4/67454181/video/tos/useast2a/tos-useast2a-ve-0068c001-euttp/oErUNQPBlBFwvVsiiB5x4AIaEDtLfy2QMREdbf/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=2968&bt=1484&cs=0&ds=6&ft=p6JrAMMK8Zmo0w32Zb4jV9aH~SWrKsd.&mime_type=video_mp4&qs=0&rc=aDUzZjpmOzg0N2RkOTM7PEBpamlwNmo5cmlrcTMzZjczM0BiMGEuXy4yXjQxMy42MF4zYSNpbTJhMmRzXjJgLS1kMWNzcw%3D%3D&vvpl=1&l=20241125213309AF623439CC3C453356F0&btag=e00088000', 'https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?faid=1233&file_id=69a830961a6a4471a5581cb71cd032ee&is_play_url=1&item_id=7334979904213208352&line=0&redirect=0&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLmFhYTEwZjU3YTA1OTNkM2FkMjU1MzY1ZTQ1OGVmM2I0&source=CHALLENGE_AWEME&vidc=useast2a&video_id=v0f044gc0000cn5hafvog65gd35mpflg']",145,26352,10
7322424931357166881,2024-01-10,6778895183419343877,"January in Rome, Italy 🇮🇹  #januaryinrome #rome #italy #🇮🇹 #romeitaly #travel #romeitalytravel #italytrip #romespots #italy🇮🇹 #italyvibes #fyp #romeitaly🇮🇹 ","['https://v45.tiktokcdn-eu.com/1e25ec1fd8812ef9afa01a7a9b60ea42/6745418b/video/tos/useast2a/tos-useast2a-ve-0068-euttp/owIWgfkhDDmlFYXCFeEXlLQd3BPIY2KQ7CVx3A/?a=1233&bti=Ojs2NGYpQHM6OjZALjU2OmQvcCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&br=3428&bt=1714&cs=0&ds=6&ft=p6JrAMMK8Zmo0w32Zb4jV9aH~SWrKsd.&mime_type=video_mp4&qs=0&rc=ZDdnaTllZmdkNjM7Mzg3PEBpamxoN3c5cms4cTMzZjgzM0BjLjMvYTNgNTQxNi00Y2BgYSNhXjJqMmRjb2NgLS1kL2Nzcw%3D%3D&vvpl=1&l=20241125213309AF623439CC3C453356F0&btag=e0008d000', 'https://v77.tiktokcdn-eu.com/6e7b10d707a5ff19bdabf397f52014c0/6745418b/video/tos/useast2a/tos-useast2a-ve-0068-euttp/owIWgfkhDDmlFYXCFeEXlLQd3BPIY2KQ7CVx3A/?a=1233&bti=Ojs2NGYpQHM6OjZALjU2OmQvcCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&br=3428&bt=1714&cs=0&ds=6&ft=p6JrAMMK8Zmo0w32Zb4jV9aH~SWrKsd.&mime_type=video_mp4&qs=0&rc=ZDdnaTllZmdkNjM7Mzg3PEBpamxoN3c5cms4cTMzZjgzM0BjLjMvYTNgNTQxNi00Y2BgYSNhXjJqMmRjb2NgLS1kL2Nzcw%3D%3D&vvpl=1&l=20241125213309AF623439CC3C453356F0&btag=e00088000', 'https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?faid=1233&file_id=c9c4f5700890437a8dcc6bd62f6d14fa&is_play_url=1&item_id=7322424931357166881&line=0&redirect=0&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLmFmOTIxOTI1MDlmNTVkYjlhY2ZmODUzNjg5YzhjOTQ0&source=CHALLENGE_AWEME&vidc=useast2a&video_id=v0f025gc0000cnf5rhfog65tm45eaidg']",98,84468,20
7403022934715010336,2024-08-14,7257211344260121626,Colosseum secret viewpoint perfect for taking pictures😍 Location in the video🤍 #rome #colosseum #viewpoint #secretlocation #crowded #Summer #traveltiktok #travel ,"['https://v45.tiktokcdn-eu.com/d1e9d2c5b6cb05d2e57dc566b1f435c4/6745418a/video/tos/ie/tos-ie-ve-0068c001-ie/oA7m92EJDARfQRCTgIFFv0XDwfvgOnNEEEBC8E/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=2710&bt=1355&cs=0&ds=6&ft=p6JrAMMK8Zmo0w32Zb4jV9aH~SWrKsd.&mime_type=video_mp4&qs=0&rc=NjNlaGU0OjY4aWg2Zjk8aEBpajM3dXk5cmZndDMzazczNEBgNDReNDZgNS8xYTQ1NDRfYSMvcW1xMmQ0L3JgLS1kMTRzcw%3D%3D&vvpl=1&l=20241125213309AF623439CC3C453356F0&btag=e0008d000', 'https://v77.tiktokcdn-eu.com/4fe2c8539b807377677b873f2a0f397c/6745418a/video/tos/ie/tos-ie-ve-0068c001-ie/oA7m92EJDARfQRCTgIFFv0XDwfvgOnNEEEBC8E/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=2710&bt=1355&cs=0&ds=6&ft=p6JrAMMK8Zmo0w32Zb4jV9aH~SWrKsd.&mime_type=video_mp4&qs=0&rc=NjNlaGU0OjY4aWg2Zjk8aEBpajM3dXk5cmZndDMzazczNEBgNDReNDZgNS8xYTQ1NDRfYSMvcW1xMmQ0L3JgLS1kMTRzcw%3D%3D&vvpl=1&l=20241125213309AF623439CC3C453356F0&btag=e00088000', 'https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?faid=1233&file_id=be79768c73de4f2583c7917bae7b70c3&is_play_url=1&item_id=7403022934715010336&line=0&redirect=0&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLjFkMjg5M2Y1ODZkMTFlM2U1Y2NkY2ZlYTA5NTM3MmRh&source=CHALLENGE_AWEME&vidc=ie&video_id=v17044gh0000cqud2c7og65vtrp4t02g']",64258,5383269,712
7387391493373283617,2024-07-03,81063682494894080,#rome #italy #romeguide #italytravel #fyp #travelrome #travel #romefood #romefoodguide #twosizesrome #twosizestiramisu #colosseum #colosseumrome #italianfood #italiancuisine #roma ,"['https://v45.tiktokcdn-eu.com/ee306694a5bb5f1fa1097875d5de614e/6745418c/video/tos/useast2a/tos-useast2a-ve-0068-euttp/o8ejKEdAGgEIuCgfQ5G3eNI2CQK5ekjboLKIEq/?a=1233&bti=Ojs2NGYpQHM6OjZALjU2OmQvcCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=4028&bt=2014&cs=0&ds=6&ft=p6JrAMMK8Zmo0w32Zb4jV9aH~SWrKsd.&mime_type=video_mp4&qs=0&rc=ZjplOGVlZWQ5ZzpkM2U4N0BpanU5d245cmVudDMzZjczM0BfMTBhNDQwNS8xM19jMTZiYSNmL140MmRrYi9gLS1kMWNzcw%3D%3D&vvpl=1&l=20241125213309AF623439CC3C453356F0&btag=e0008d000', 'https://v77.tiktokcdn-eu.com/8ebb47ee6e6cce477b8c7522d8a831f5/6745418c/video/tos/useast2a/tos-useast2a-ve-0068-euttp/o8ejKEdAGgEIuCgfQ5G3eNI2CQK5ekjboLKIEq/?a=1233&bti=Ojs2NGYpQHM6OjZALjU2OmQvcCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=4028&bt=2014&cs=0&ds=6&ft=p6JrAMMK8Zmo0w32Zb4jV9aH~SWrKsd.&mime_type=video_mp4&qs=0&rc=ZjplOGVlZWQ5ZzpkM2U4N0BpanU5d245cmVudDMzZjczM0BfMTBhNDQwNS8xM19jMTZiYSNmL140MmRrYi9gLS1kMWNzcw%3D%3D&vvpl=1&l=20241125213309AF623439CC3C453356F0&btag=e00088000', 'https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?faid=1233&file_id=e4954bf0ba674d268a3b7b7bd53b47bc&is_play_url=1&item_id=7387391493373283617&line=0&redirect=0&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLjM3YWFkNzE3ODA5NGU1YmQ1NTBkNzZkZTFjMjZmMjky&source=CHALLENGE_AWEME&vidc=useast2a&video_id=v0f044gc0000cq2kebnog65k7ta62rig']",3982,326073,60
7441298945273384214,2024-11-25,15534388,#rome #romeitaly #italy🇮🇹 ,"['https://v45.tiktokcdn-eu.com/c4d668b0bc68bacac0980500922a3da7/67454188/video/tos/no1a/tos-no1a-ve-0068-no/o0IE3nmeEAwMAFmZ8QkI0gFzmdBRBmDpEEgfRM/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=1676&bt=838&cs=0&ds=6&ft=p6JrAMMK8Zmo0w32Zb4jV9aH~SWrKsd.&mime_type=video_mp4&qs=0&rc=M2ZoaDk6ZGloM2g5OztkZ0BpM2Y2PG45cnFmdzMzbzczNUBfNmFgNDYzXzQxYjExLi0uYSNnbGVzMmRjby9gLS1kMTFzcw%3D%3D&vvpl=1&l=20241125213309AF623439CC3C453356F0&btag=e0008d000', 'https://v77.tiktokcdn-eu.com/68a44b6ec3ca37cfb796441e36195a07/67454188/video/tos/no1a/tos-no1a-ve-0068-no/o0IE3nmeEAwMAFmZ8QkI0gFzmdBRBmDpEEgfRM/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=1676&bt=838&cs=0&ds=6&ft=p6JrAMMK8Zmo0w32Zb4jV9aH~SWrKsd.&mime_type=video_mp4&qs=0&rc=M2ZoaDk6ZGloM2g5OztkZ0BpM2Y2PG45cnFmdzMzbzczNUBfNmFgNDYzXzQxYjExLi0uYSNnbGVzMmRjby9gLS1kMTFzcw%3D%3D&vvpl=1&l=20241125213309AF623439CC3C453356F0&btag=e00088000', 'https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?faid=1233&file_id=1d0a184846ee407ebf6a9776cede9cb0&is_play_url=1&item_id=7441298945273384214&line=0&redirect=0&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLmMxZDQ2MTNlYTlkZWViNDZhYmJmZDIyMDNlZjViODhj&source=CHALLENGE_AWEME&vidc=no1a&video_id=v24044gl0000ct2crnfog65kv9h3ocj0']",0,960,7
